CustomerID,Feedback,Rating,Cleaned_Feedback,Sentiment
CUST0001,Great value for the price. I will definitely buy again.,4,great value price definitely buy,Positive
CUST0002,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0003,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0004,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0005,I'm disappointed with the customer service. They were unhelpful.,4,disappointed customer service unhelpful,Negative
CUST0006,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend,Positive
CUST0007,The product broke after a week of use. Very disappointed.,2,product break week use disappointed,Negative
CUST0008,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0009,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0010,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0011,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0012,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful,Positive
CUST0013,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0014,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0015,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0016,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0017,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0018,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0019,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy,Positive
CUST0020,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0021,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful,Positive
CUST0022,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0023,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0024,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
