CustomerID,Feedback,Rating,Cleaned_Feedback
CUST0001,Great value for the price. I will definitely buy again.,4,great value price definitely buy
CUST0002,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0003,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0004,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0005,I'm disappointed with the customer service. They were unhelpful.,4,disappointed customer service unhelpful
CUST0006,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend
CUST0007,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0008,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0009,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0010,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0011,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0012,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful
CUST0013,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0014,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0015,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0016,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0017,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0018,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0019,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy
CUST0020,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0021,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful
CUST0022,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0023,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0024,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0025,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0026,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0027,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0028,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0029,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0030,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0031,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0032,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0033,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0034,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0035,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0036,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0037,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0038,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0039,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0040,Great value for the price. I will definitely buy again.,4,great value price definitely buy
CUST0041,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0042,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0043,Great value for the price. I will definitely buy again.,1,great value price definitely buy
CUST0044,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0045,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0046,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0047,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0048,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0049,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition
CUST0050,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0051,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0052,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0053,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0054,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0055,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0056,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0057,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0058,Great value for the price. I will definitely buy again.,4,great value price definitely buy
CUST0059,I'm disappointed with the customer service. They were unhelpful.,4,disappointed customer service unhelpful
CUST0060,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0061,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0062,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0063,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0064,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0065,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0066,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0067,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0068,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0069,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0070,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0071,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0072,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0073,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0074,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0075,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0076,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0077,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0078,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear
CUST0079,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0080,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0081,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0082,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0083,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0084,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0085,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0086,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0087,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0088,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0089,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0090,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0091,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0092,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0093,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0094,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear
CUST0095,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0096,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0097,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0098,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0099,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0100,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0101,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0102,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0103,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0104,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0105,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful
CUST0106,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0107,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0108,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0109,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0110,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0111,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0112,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0113,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0114,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0115,Great value for the price. I will definitely buy again.,1,great value price definitely buy
CUST0116,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0117,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0118,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend
CUST0119,Great value for the price. I will definitely buy again.,2,great value price definitely buy
CUST0120,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition
CUST0121,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0122,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0123,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0124,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend
CUST0125,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0126,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0127,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0128,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0129,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0130,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0131,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0132,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0133,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0134,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0135,Great value for the price. I will definitely buy again.,1,great value price definitely buy
CUST0136,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0137,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0138,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0139,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition
CUST0140,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0141,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0142,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0143,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0144,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0145,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0146,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0147,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0148,The product broke after a week of use. Very disappointed.,4,product break week use disappointed
