CustomerID,Feedback,Rating
CUST0001,Great value for the price. I will definitely buy again.,4
CUST0002,I'm disappointed with the customer service. They were unhelpful.,2
CUST0003,I love the design and functionality. Highly recommended!,2
CUST0004,The app is user-friendly and makes my tasks so much easier.,5
CUST0005,I'm disappointed with the customer service. They were unhelpful.,4
CUST0006,I love the design and functionality. Highly recommended!,1
CUST0007,The product broke after a week of use. Very disappointed.,2
CUST0008,The product quality is excellent and exceeded my expectations.,5
CUST0009,The product quality is excellent and exceeded my expectations.,4
CUST0010,"I had trouble using the product, the instructions were unclear.",4
CUST0011,The quality doesn't match the price. Not worth it.,4
CUST0012,Customer support was quick to respond and very helpful.,1
CUST0013,The app is user-friendly and makes my tasks so much easier.,5
CUST0014,Customer support was quick to respond and very helpful.,5
CUST0015,Customer support was quick to respond and very helpful.,5
CUST0016,Customer support was quick to respond and very helpful.,5
CUST0017,The app is user-friendly and makes my tasks so much easier.,4
CUST0018,"I had trouble using the product, the instructions were unclear.",4
CUST0019,The app is user-friendly and makes my tasks so much easier.,2
CUST0020,The product broke after a week of use. Very disappointed.,1
CUST0021,Customer support was quick to respond and very helpful.,1
CUST0022,Great value for the price. I will definitely buy again.,5
CUST0023,The app is user-friendly and makes my tasks so much easier.,1
CUST0024,I'm disappointed with the customer service. They were unhelpful.,5
CUST0025,Delivery was fast and the item arrived in perfect condition.,5
CUST0026,"I had trouble using the product, the instructions were unclear.",5
CUST0027,Great value for the price. I will definitely buy again.,5
CUST0028,The product broke after a week of use. Very disappointed.,1
CUST0029,I'm disappointed with the customer service. They were unhelpful.,1
CUST0030,The product broke after a week of use. Very disappointed.,5
CUST0031,The product quality is excellent and exceeded my expectations.,2
CUST0032,The quality doesn't match the price. Not worth it.,5
CUST0033,Customer support was quick to respond and very helpful.,5
CUST0034,The product broke after a week of use. Very disappointed.,5
CUST0035,"I had trouble using the product, the instructions were unclear.",5
CUST0036,The product broke after a week of use. Very disappointed.,5
CUST0037,I'm disappointed with the customer service. They were unhelpful.,2
CUST0038,Delivery was fast and the item arrived in perfect condition.,5
CUST0039,I'm disappointed with the customer service. They were unhelpful.,1
CUST0040,Great value for the price. I will definitely buy again.,4
CUST0041,"I had trouble using the product, the instructions were unclear.",5
CUST0042,Customer support was quick to respond and very helpful.,4
CUST0043,Great value for the price. I will definitely buy again.,1
CUST0044,The product quality is excellent and exceeded my expectations.,4
CUST0045,The product quality is excellent and exceeded my expectations.,4
CUST0046,The app is user-friendly and makes my tasks so much easier.,4
CUST0047,The app is user-friendly and makes my tasks so much easier.,1
CUST0048,The product quality is excellent and exceeded my expectations.,1
CUST0049,Delivery was fast and the item arrived in perfect condition.,4
CUST0050,The quality doesn't match the price. Not worth it.,5
CUST0051,"I had trouble using the product, the instructions were unclear.",1
CUST0052,I love the design and functionality. Highly recommended!,2
CUST0053,I love the design and functionality. Highly recommended!,5
CUST0054,The product quality is excellent and exceeded my expectations.,5
CUST0055,The product quality is excellent and exceeded my expectations.,1
CUST0056,The product quality is excellent and exceeded my expectations.,2
CUST0057,The app is user-friendly and makes my tasks so much easier.,5
CUST0058,Great value for the price. I will definitely buy again.,4
CUST0059,I'm disappointed with the customer service. They were unhelpful.,4
CUST0060,The quality doesn't match the price. Not worth it.,5
CUST0061,The product broke after a week of use. Very disappointed.,5
CUST0062,I love the design and functionality. Highly recommended!,5
CUST0063,The product broke after a week of use. Very disappointed.,5
CUST0064,Customer support was quick to respond and very helpful.,4
CUST0065,The quality doesn't match the price. Not worth it.,1
CUST0066,The product broke after a week of use. Very disappointed.,5
CUST0067,The product broke after a week of use. Very disappointed.,2
CUST0068,The quality doesn't match the price. Not worth it.,5
CUST0069,"I had trouble using the product, the instructions were unclear.",1
CUST0070,"I had trouble using the product, the instructions were unclear.",1
CUST0071,The product quality is excellent and exceeded my expectations.,4
CUST0072,The product quality is excellent and exceeded my expectations.,2
CUST0073,The quality doesn't match the price. Not worth it.,4
CUST0074,The app is user-friendly and makes my tasks so much easier.,1
CUST0075,The app is user-friendly and makes my tasks so much easier.,5
CUST0076,Customer support was quick to respond and very helpful.,4
CUST0077,The product quality is excellent and exceeded my expectations.,2
CUST0078,"I had trouble using the product, the instructions were unclear.",2
CUST0079,The product quality is excellent and exceeded my expectations.,2
CUST0080,Great value for the price. I will definitely buy again.,5
CUST0081,I'm disappointed with the customer service. They were unhelpful.,5
CUST0082,"I had trouble using the product, the instructions were unclear.",4
CUST0083,The product quality is excellent and exceeded my expectations.,5
CUST0084,The product broke after a week of use. Very disappointed.,2
CUST0085,Delivery was fast and the item arrived in perfect condition.,2
CUST0086,Customer support was quick to respond and very helpful.,5
CUST0087,"I had trouble using the product, the instructions were unclear.",5
CUST0088,The app is user-friendly and makes my tasks so much easier.,5
CUST0089,The quality doesn't match the price. Not worth it.,1
CUST0090,"I had trouble using the product, the instructions were unclear.",5
CUST0091,I'm disappointed with the customer service. They were unhelpful.,2
CUST0092,The product quality is excellent and exceeded my expectations.,1
CUST0093,The app is user-friendly and makes my tasks so much easier.,5
CUST0094,"I had trouble using the product, the instructions were unclear.",2
CUST0095,"I had trouble using the product, the instructions were unclear.",4
CUST0096,"I had trouble using the product, the instructions were unclear.",1
CUST0097,Delivery was fast and the item arrived in perfect condition.,2
CUST0098,The product quality is excellent and exceeded my expectations.,2
CUST0099,The quality doesn't match the price. Not worth it.,2
CUST0100,I'm disappointed with the customer service. They were unhelpful.,5
CUST0101,"I had trouble using the product, the instructions were unclear.",5
CUST0102,"I had trouble using the product, the instructions were unclear.",1
CUST0103,The quality doesn't match the price. Not worth it.,5
CUST0104,The product quality is excellent and exceeded my expectations.,1
CUST0105,Customer support was quick to respond and very helpful.,2
CUST0106,I'm disappointed with the customer service. They were unhelpful.,5
CUST0107,"I had trouble using the product, the instructions were unclear.",5
CUST0108,The product quality is excellent and exceeded my expectations.,1
CUST0109,"I had trouble using the product, the instructions were unclear.",4
CUST0110,The quality doesn't match the price. Not worth it.,2
CUST0111,The quality doesn't match the price. Not worth it.,2
CUST0112,The quality doesn't match the price. Not worth it.,2
CUST0113,Customer support was quick to respond and very helpful.,5
CUST0114,I love the design and functionality. Highly recommended!,2
CUST0115,Great value for the price. I will definitely buy again.,1
CUST0116,The quality doesn't match the price. Not worth it.,5
CUST0117,Great value for the price. I will definitely buy again.,5
CUST0118,I love the design and functionality. Highly recommended!,4
CUST0119,Great value for the price. I will definitely buy again.,2
CUST0120,Delivery was fast and the item arrived in perfect condition.,4
CUST0121,Great value for the price. I will definitely buy again.,5
CUST0122,Delivery was fast and the item arrived in perfect condition.,5
CUST0123,"I had trouble using the product, the instructions were unclear.",1
CUST0124,I love the design and functionality. Highly recommended!,1
CUST0125,The app is user-friendly and makes my tasks so much easier.,5
CUST0126,The product broke after a week of use. Very disappointed.,1
CUST0127,The product quality is excellent and exceeded my expectations.,1
CUST0128,Customer support was quick to respond and very helpful.,4
CUST0129,"I had trouble using the product, the instructions were unclear.",1
CUST0130,The app is user-friendly and makes my tasks so much easier.,5
CUST0131,The product broke after a week of use. Very disappointed.,5
CUST0132,I'm disappointed with the customer service. They were unhelpful.,2
CUST0133,Delivery was fast and the item arrived in perfect condition.,5
CUST0134,I love the design and functionality. Highly recommended!,2
CUST0135,Great value for the price. I will definitely buy again.,1
CUST0136,"I had trouble using the product, the instructions were unclear.",4
CUST0137,The product broke after a week of use. Very disappointed.,1
CUST0138,I'm disappointed with the customer service. They were unhelpful.,5
CUST0139,Delivery was fast and the item arrived in perfect condition.,4
CUST0140,The product broke after a week of use. Very disappointed.,1
CUST0141,I'm disappointed with the customer service. They were unhelpful.,5
CUST0142,The product quality is excellent and exceeded my expectations.,4
CUST0143,"I had trouble using the product, the instructions were unclear.",5
CUST0144,The product quality is excellent and exceeded my expectations.,4
CUST0145,I'm disappointed with the customer service. They were unhelpful.,5
CUST0146,The product broke after a week of use. Very disappointed.,2
CUST0147,The quality doesn't match the price. Not worth it.,2
CUST0148,The product broke after a week of use. Very disappointed.,4
CUST0149,The product broke after a week of use. Very disappointed.,2
CUST0150,Delivery was fast and the item arrived in perfect condition.,2
CUST0151,"I had trouble using the product, the instructions were unclear.",5
CUST0152,The quality doesn't match the price. Not worth it.,5
CUST0153,The app is user-friendly and makes my tasks so much easier.,5
CUST0154,I'm disappointed with the customer service. They were unhelpful.,1
CUST0155,The quality doesn't match the price. Not worth it.,5
CUST0156,Delivery was fast and the item arrived in perfect condition.,5
CUST0157,I love the design and functionality. Highly recommended!,5
CUST0158,The quality doesn't match the price. Not worth it.,4
CUST0159,Great value for the price. I will definitely buy again.,5
CUST0160,I love the design and functionality. Highly recommended!,1
CUST0161,Great value for the price. I will definitely buy again.,2
CUST0162,I love the design and functionality. Highly recommended!,4
CUST0163,The product broke after a week of use. Very disappointed.,1
CUST0164,The quality doesn't match the price. Not worth it.,5
CUST0165,The product quality is excellent and exceeded my expectations.,2
CUST0166,The product broke after a week of use. Very disappointed.,1
CUST0167,The app is user-friendly and makes my tasks so much easier.,1
CUST0168,The product quality is excellent and exceeded my expectations.,4
CUST0169,Customer support was quick to respond and very helpful.,1
CUST0170,The quality doesn't match the price. Not worth it.,1
CUST0171,Customer support was quick to respond and very helpful.,5
CUST0172,The app is user-friendly and makes my tasks so much easier.,2
CUST0173,The quality doesn't match the price. Not worth it.,4
CUST0174,The product broke after a week of use. Very disappointed.,2
CUST0175,I'm disappointed with the customer service. They were unhelpful.,1
CUST0176,I'm disappointed with the customer service. They were unhelpful.,4
CUST0177,The quality doesn't match the price. Not worth it.,4
CUST0178,I'm disappointed with the customer service. They were unhelpful.,1
CUST0179,The product quality is excellent and exceeded my expectations.,2
CUST0180,Great value for the price. I will definitely buy again.,4
CUST0181,Delivery was fast and the item arrived in perfect condition.,5
CUST0182,The quality doesn't match the price. Not worth it.,1
CUST0183,The quality doesn't match the price. Not worth it.,2
CUST0184,The app is user-friendly and makes my tasks so much easier.,1
CUST0185,The product quality is excellent and exceeded my expectations.,4
CUST0186,Delivery was fast and the item arrived in perfect condition.,5
CUST0187,I love the design and functionality. Highly recommended!,1
CUST0188,Customer support was quick to respond and very helpful.,5
CUST0189,The quality doesn't match the price. Not worth it.,1
CUST0190,Delivery was fast and the item arrived in perfect condition.,5
CUST0191,"I had trouble using the product, the instructions were unclear.",2
CUST0192,The quality doesn't match the price. Not worth it.,4
CUST0193,Customer support was quick to respond and very helpful.,5
CUST0194,Delivery was fast and the item arrived in perfect condition.,5
CUST0195,The product broke after a week of use. Very disappointed.,5
CUST0196,"I had trouble using the product, the instructions were unclear.",4
CUST0197,Great value for the price. I will definitely buy again.,2
CUST0198,The product quality is excellent and exceeded my expectations.,5
CUST0199,I love the design and functionality. Highly recommended!,5
CUST0200,Delivery was fast and the item arrived in perfect condition.,2
CUST0201,I'm disappointed with the customer service. They were unhelpful.,1
CUST0202,The app is user-friendly and makes my tasks so much easier.,4
CUST0203,Delivery was fast and the item arrived in perfect condition.,2
CUST0204,I'm disappointed with the customer service. They were unhelpful.,1
CUST0205,"I had trouble using the product, the instructions were unclear.",5
CUST0206,The product quality is excellent and exceeded my expectations.,5
CUST0207,The product broke after a week of use. Very disappointed.,1
CUST0208,The app is user-friendly and makes my tasks so much easier.,5
CUST0209,Delivery was fast and the item arrived in perfect condition.,1
CUST0210,The quality doesn't match the price. Not worth it.,4
CUST0211,"I had trouble using the product, the instructions were unclear.",1
CUST0212,The app is user-friendly and makes my tasks so much easier.,4
CUST0213,The product broke after a week of use. Very disappointed.,4
CUST0214,The quality doesn't match the price. Not worth it.,4
CUST0215,Delivery was fast and the item arrived in perfect condition.,5
CUST0216,Great value for the price. I will definitely buy again.,5
CUST0217,The product quality is excellent and exceeded my expectations.,5
CUST0218,Delivery was fast and the item arrived in perfect condition.,4
CUST0219,The product quality is excellent and exceeded my expectations.,1
CUST0220,The quality doesn't match the price. Not worth it.,4
CUST0221,I love the design and functionality. Highly recommended!,5
CUST0222,The app is user-friendly and makes my tasks so much easier.,1
CUST0223,The app is user-friendly and makes my tasks so much easier.,4
CUST0224,The product quality is excellent and exceeded my expectations.,5
